%  dbname: ../adcpdb/a_sp  output: a_sp_npings.txt  step_size= 1  year_base= 2024
%
%       Time        NPings   NSecs

  123.606690          78        180.0
  123.608785          78        180.0
  123.610856          77        180.0
  123.612951          78        180.0
  123.615023          77        180.0
  123.617118          78        180.0
  123.619190          77        180.0
  123.621285          78        180.0
  123.623356          77        180.0
  123.625451          78        180.0
  123.627523          77        180.0
  123.629618          78        180.0
  123.631690          77        180.0
  123.633785          78        180.0
  123.635856          77        180.0
  123.637951          78        180.0
  123.640023          77        180.0
  123.642118          78        180.0
  123.644190          77        180.0
  123.646262          77        180.0
  123.648368          78        180.0
  123.650440          77        180.0
  123.652535          78        180.0
  123.654606          77        180.0
  123.656690          78        180.0
  123.658773          78        180.0
  123.660856          78        180.0
  123.662940          77        180.0
  123.665035          78        180.0
  123.667106          77        180.0
  123.669201          78        180.0
  123.671273          77        180.0
  123.673368          78        180.0
  123.675440          77        180.0
  123.677535          78        180.0
  123.679606          77        180.0
  123.681678          77        180.0
  123.683785          78        180.0
  123.685856          77        180.0
  123.687928          77        180.0
  123.690023          78        180.0
  123.692095          77        180.0
  123.694190          78        180.0
  123.696273          77        180.0
  123.698356          78        180.0
  123.700428          77        180.0
  123.702523          78        180.0
  123.704595          77        180.0
  123.706690          78        180.0
  123.708785          78        180.0
  123.710856          77        180.0
  123.712940          78        180.0
  123.715012          77        180.0
  123.717118          78        180.0
  123.719190          77        180.0
  123.721285          78        180.0
  123.723356          77        180.0
  123.725440          77        180.0
  123.727535          78        180.0
  123.729606          77        180.0
  123.731701          78        180.0
  123.733773          77        180.0
  123.735868          78        180.0
  123.737940          77        180.0
  123.740012          77        180.0
  123.742118          78        180.0
  123.744190          77        180.0
  123.746285          78        180.0
  123.748356          77        180.0
  123.750428          77        180.0
  123.752523          78        180.0
  123.754595          77        180.0
  123.756690          78        180.0
  123.758762          77        180.0
  123.760868          78        180.0
  123.762940          77        180.0
  123.765035          78        180.0
  123.767106          77        180.0
  123.769201          78        180.0
  123.771273          77        180.0
  123.773345          77        180.0
  123.775451          78        180.0
  123.777523          77        180.0
  123.779618          78        180.0
  123.781690          77        180.0
  123.783762          77        180.0
  123.785868          78        180.0
  123.787940          77        180.0
  123.790012          77        180.0
  123.792118          78        180.0
  123.794190          77        180.0
  123.796285          78        180.0
  123.798356          77        180.0
  123.800428          77        180.0
  123.802535          78        180.0
  123.804606          77        180.0
  123.806701          78        180.0
  123.808773          77        180.0
  123.810845          77        180.0
  123.812940          78        180.0
  123.815023          77        180.0
  123.817118          78        180.0
  123.819201          77        180.0
  123.821262          72        180.0
  123.823356          73        180.0
  123.825451          76        180.0
  123.827512          76        180.0
  123.829618          77        180.0
  123.831678          75        180.0
  123.833773          76        180.0
  123.835868          74        180.0
  123.837928          74        180.0
  123.840035          75        180.0
  123.842106          76        180.0
  123.844201          73        180.0
  123.846262          74        180.0
  123.848356          76        180.0
  123.850440          73        180.0
  123.852535          74        180.0
  123.854595          75        180.0
  123.856678          74        180.0
  123.858773          76        180.0
  123.860845          76        180.0
  123.862951          75        180.0
  123.865012          75        180.0
  123.867106          77        180.0
  123.869201          75        180.0
  123.871285          74        180.0
  123.873368          76        180.0
  123.875440          75        180.0
  123.877523          76        180.0
  123.879618          75        180.0
  123.881678          75        180.0
  123.883773          76        180.0
  123.885845          76        180.0
  123.887940          76        180.0
  123.890035          76        180.0
  123.892106          75        180.0
  123.894178          76        180.0
  123.896273          75        180.0
  123.898368          76        180.0
  123.900428          75        180.0
  123.902523          78        180.0
  123.904618          76        180.0
  123.906690          76        180.0
  123.908773          75        180.0
  123.910868          75        180.0
  123.912940          76        180.0
  123.915023          76        180.0
  123.917095          77        180.0
  123.919201          78        180.0
  123.921273          77        180.0
  123.923368          78        180.0
  123.925451          76        180.0
  123.927512          76        180.0
  123.929618          78        180.0
  123.931690          77        180.0
  123.933762          77        180.0
  123.935868          75        180.0
  123.937928          73        180.0
  123.940012          75        180.0
  123.942118          76        180.0
  123.944201          73        180.0
  123.946285          76        180.0
  123.948345          76        180.0
  123.950440          78        180.0
  123.952523          77        180.0
  123.954595          76        180.0
  123.956701          77        180.0
  123.958773          77        180.0
  123.960868          77        180.0
  123.962951          76        180.0
  123.965035          77        180.0
  123.967106          77        180.0
  123.969201          78        180.0
  123.971285          77        180.0
  123.973356          76        180.0
  123.975440          74        180.0
  123.977535          73        180.0
  123.979618          76        180.0
  123.981690          76        180.0
  123.983785          74        180.0
  123.985868          77        180.0
  123.987940          77        180.0
  123.990023          77        180.0
  123.992118          77        180.0
  123.994190          76        180.0
  123.996273          72        180.0
  123.998368          73        180.0
  124.000428          70        180.0
  124.002512          71        180.0
  124.004606          74        180.0
  124.006690          74        180.0
  124.008762          75        180.0
  124.010868          78        180.0
  124.012940          77        180.0
  124.015012          77        180.0
  124.017118          78        180.0
  124.019190          77        180.0
  124.021273          72        180.0
  124.023356          72        180.0
  124.025428          74        180.0
  124.027523          74        180.0
  124.029606          74        180.0
  124.031701          71        180.0
  124.033773          72        180.0
  124.035856          77        180.0
  124.037928          77        180.0
  124.040035          78        180.0
  124.042106          77        180.0
  124.044178          77        180.0
  124.046285          78        180.0
  124.048356          77        180.0
  124.050451          77        180.0
  124.052523          76        180.0
  124.054606          77        180.0
  124.056701          78        180.0
  124.058773          77        180.0
  124.060845          77        180.0
  124.062951          78        180.0
  124.065035          77        180.0
