#decimal_day   amplitude     phase
  127.5383         nan          nan
  127.5404         nan          nan
  127.5425         nan          nan
  127.5446         nan          nan
  127.5466       1.013       -0.460
  127.5487       1.006        0.956
  127.5508       1.021        0.822
  127.5529       1.023        0.565
  127.5550         nan          nan
  127.5571         nan          nan
  127.5591         nan          nan
  127.5612         nan          nan
  127.5633         nan          nan
  127.5654       0.994       -0.041
  127.5675         nan          nan
  127.5696       1.010       -0.214
  127.5716         nan          nan
  127.5737         nan          nan
  127.5758         nan          nan
  127.5779         nan          nan
  127.5800         nan          nan
  127.5821         nan          nan
  127.5841         nan          nan
  127.5862         nan          nan
  127.5883         nan          nan
  127.5904         nan          nan
  127.5925         nan          nan
  127.5945       1.054       -0.767
  127.5966         nan          nan
  127.5987       1.000        0.072
  127.6008       1.016        0.005
  127.6029       1.004        1.302
  127.6050       1.003       -0.573
  127.6070       1.011        0.152
  127.6091       1.018        0.148
  127.6112       1.007        0.139
  127.6133       1.008        0.093
  127.6154       1.005       -0.091
  127.6175       1.026       -0.948
  127.6195       1.009       -0.717
  127.6216         nan          nan
  127.6248         nan          nan
  127.6279       1.024       -1.584
  127.6300       1.026       -1.170
  127.6321       1.020       -0.402
  127.6341       1.018       -1.498
  127.6362       1.019       -0.662
  127.6383       1.016       -0.747
  127.6404       1.012        0.450
  127.6425       1.024       -1.389
  127.6445       1.012       -0.019
  127.6466       1.017       -0.990
  127.6487       1.016       -0.761
  127.6519         nan          nan
  127.6550       1.006       -1.459
  127.6571       0.975       -1.629
  127.7164         nan          nan
  127.7758         nan          nan
  127.7779       1.050        0.401
  127.7800       1.010       -0.600
  127.7821       1.003       -0.379
  127.7841         nan          nan
  127.7862       1.043        0.602
  127.7946         nan          nan
  127.8029       1.025        0.977
  127.8050       1.017        0.829
  127.8070       1.017        0.087
  127.8091       1.016        0.265
  127.8112       0.999       -0.443
  127.8133       1.027       -0.299
  127.8154       1.040        0.451
  127.8175       1.018       -0.368
  127.8195       1.005       -0.469
  127.8216       1.037        0.002
  127.8237       1.024        0.062
